day,skill,max_workers
0,operator,4
0,assembler,6
0,inspector,2
1,operator,4
1,assembler,6
1,inspector,2
2,operator,4
2,assembler,6
2,inspector,2
3,operator,4
3,assembler,6
3,inspector,2
4,operator,4
4,assembler,6
4,inspector,2
5,operator,4
5,assembler,3
5,inspector,2
6,operator,4
6,assembler,3
6,inspector,2
7,operator,4
7,assembler,6
7,inspector,2
8,operator,4
8,assembler,6
8,inspector,2
9,operator,4
9,assembler,6
9,inspector,2
10,operator,4
10,assembler,6
10,inspector,2
11,operator,4
11,assembler,6
11,inspector,2
12,operator,4
12,assembler,6
12,inspector,2
13,operator,4
13,assembler,6
13,inspector,2
14,operator,4
14,assembler,6
14,inspector,2
15,operator,4
15,assembler,6
15,inspector,2
16,operator,4
16,assembler,6
16,inspector,2
17,operator,4
17,assembler,6
17,inspector,2
18,operator,4
18,assembler,6
18,inspector,2
19,operator,4
19,assembler,6
19,inspector,2
20,operator,4
20,assembler,6
20,inspector,2
