unit_id,order_id,product_type,op_index,operation_id,stage,machine,skill,workers,duration_days,start_day,end_day,start_hour,end_hour
C1__001,C1,A,1,op1,cutting,cutting__m0,operator,2,1,0,1,0,8
C1__001,C1,A,2,op2,assembly,assembly__m1,assembler,3,2,1,3,8,24
C1__001,C1,A,3,op3,inspection,inspection__m0,inspector,1,1,3,4,24,32
C1__002,C1,A,1,op1,cutting,cutting__m0,operator,2,1,1,2,8,16
C1__002,C1,A,2,op2,assembly,assembly__m0,assembler,3,2,2,4,16,32
C1__002,C1,A,3,op3,inspection,inspection__m0,inspector,1,1,4,5,32,40
C1__003,C1,A,1,op1,cutting,cutting__m0,operator,2,1,2,3,16,24
C1__003,C1,A,2,op2,assembly,assembly__m1,assembler,3,2,3,5,24,40
C1__003,C1,A,3,op3,inspection,inspection__m0,inspector,1,1,5,6,40,48
C1__004,C1,A,1,op1,cutting,cutting__m0,operator,2,1,3,4,24,32
C1__004,C1,A,2,op2,assembly,assembly__m0,assembler,3,2,4,6,32,48
C1__004,C1,A,3,op3,inspection,inspection__m0,inspector,1,1,9,10,72,80
C2__001,C2,B,1,op1,cutting,cutting__m0,operator,2,1,7,8,56,64
C2__001,C2,B,2,op2,assembly,assembly__m1,assembler,3,2,8,10,64,80
C2__001,C2,B,3,op3,inspection,inspection__m0,inspector,1,1,10,11,80,88
C2__002,C2,B,1,op1,cutting,cutting__m0,operator,2,1,5,6,40,48
C2__002,C2,B,2,op2,assembly,assembly__m1,assembler,3,2,6,8,48,64
C2__002,C2,B,3,op3,inspection,inspection__m0,inspector,1,1,11,12,88,96
C2__003,C2,B,1,op1,cutting,cutting__m0,operator,2,1,6,7,48,56
C2__003,C2,B,2,op2,assembly,assembly__m0,assembler,3,2,7,9,56,72
C2__003,C2,B,3,op3,inspection,inspection__m0,inspector,1,1,12,13,96,104
