day,skill,hired_workers,max_workers
0,assembler,0,6
0,inspector,0,2
0,operator,2,4
1,assembler,3,6
1,inspector,0,2
1,operator,0,4
2,assembler,3,6
2,inspector,0,2
2,operator,2,4
3,assembler,3,6
3,inspector,0,2
3,operator,2,4
4,assembler,6,6
4,inspector,0,2
4,operator,2,4
5,assembler,3,3
5,inspector,1,2
5,operator,2,4
6,assembler,3,3
6,inspector,1,2
6,operator,0,4
7,assembler,6,6
7,inspector,1,2
7,operator,2,4
8,assembler,3,6
8,inspector,1,2
8,operator,2,4
9,assembler,3,6
9,inspector,1,2
9,operator,0,4
10,assembler,6,6
10,inspector,0,2
10,operator,0,4
11,assembler,3,6
11,inspector,0,2
11,operator,0,4
12,assembler,0,6
12,inspector,1,2
12,operator,0,4
13,assembler,0,6
13,inspector,1,2
13,operator,0,4
14,assembler,0,6
14,inspector,0,2
14,operator,0,4
15,assembler,0,6
15,inspector,0,2
15,operator,0,4
16,assembler,0,6
16,inspector,0,2
16,operator,0,4
17,assembler,0,6
17,inspector,0,2
17,operator,0,4
18,assembler,0,6
18,inspector,0,2
18,operator,0,4
19,assembler,0,6
19,inspector,0,2
19,operator,0,4
20,assembler,0,6
20,inspector,0,2
20,operator,0,4
21,assembler,0,0
21,inspector,0,0
21,operator,0,0
22,assembler,0,0
22,inspector,0,0
22,operator,0,0
23,assembler,0,0
23,inspector,0,0
23,operator,0,0
24,assembler,0,0
24,inspector,0,0
24,operator,0,0
