instance_path,meta_scale,meta_scenario,meta_seed,meta_n_orders,time_limit_s,ship_window,run_status,run_elapsed_s,data_dir,out_dir,run_error,status,objective,horizon_days,num_units,num_operations
large/baseline/I001,large,baseline,1120,40,300,2,ok,24.493604,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/large/baseline/I001,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/large/baseline/I001,,INFEASIBLE,,60,157,628
large/baseline/I002,large,baseline,1121,40,300,2,ok,28.984677,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/large/baseline/I002,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/large/baseline/I002,,INFEASIBLE,,60,175,700
large/baseline/I003,large,baseline,1122,40,300,2,ok,30.241072,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/large/baseline/I003,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/large/baseline/I003,,INFEASIBLE,,60,178,712
large/baseline/I004,large,baseline,1123,40,300,2,ok,30.382355,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/large/baseline/I004,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/large/baseline/I004,,INFEASIBLE,,60,180,720
large/baseline/I005,large,baseline,1124,40,300,2,ok,29.835665,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/large/baseline/I005,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/large/baseline/I005,,INFEASIBLE,,60,178,712
large/baseline/I006,large,baseline,1125,40,300,2,ok,31.939655,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/large/baseline/I006,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/large/baseline/I006,,INFEASIBLE,,60,185,740
large/baseline/I007,large,baseline,1126,40,300,2,ok,27.846018,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/large/baseline/I007,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/large/baseline/I007,,INFEASIBLE,,60,171,684
large/baseline/I008,large,baseline,1127,40,300,2,ok,25.74091,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/large/baseline/I008,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/large/baseline/I008,,INFEASIBLE,,58,164,656
large/baseline/I009,large,baseline,1128,40,300,2,ok,34.567949,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/large/baseline/I009,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/large/baseline/I009,,INFEASIBLE,,59,193,772
large/baseline/I010,large,baseline,1129,40,300,2,ok,29.195327,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/large/baseline/I010,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/large/baseline/I010,,INFEASIBLE,,59,176,704
large/baseline/I011,large,baseline,1130,40,300,2,ok,32.295917,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/large/baseline/I011,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/large/baseline/I011,,INFEASIBLE,,60,186,744
large/baseline/I012,large,baseline,1131,40,300,2,ok,28.179635,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/large/baseline/I012,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/large/baseline/I012,,INFEASIBLE,,60,172,688
