unit_id,order_id,product_type,op_index,operation_id,stage,machine,skill,workers,duration_days,start_day,end_day,start_hour,end_hour
O001__001,O001,P3,1,P3_op1,S1,S1__m2,R1,2,1,41,42,328,336
O001__001,O001,P3,2,P3_op2,S2,S2__m0,R2,2,1,42,43,336,344
O001__001,O001,P3,3,P3_op3,S3,S3__m1,R1,1,1,43,44,344,352
O001__001,O001,P3,4,P3_op4,S4,S4__m0,R3,1,1,44,45,352,360
O002__001,O002,P3,1,P3_op1,S1,S1__m2,R1,2,1,20,21,160,168
O002__001,O002,P3,2,P3_op2,S2,S2__m1,R2,2,1,21,22,168,176
O002__001,O002,P3,3,P3_op3,S3,S3__m1,R1,1,1,22,23,176,184
O002__001,O002,P3,4,P3_op4,S4,S4__m0,R3,1,1,23,24,184,192
O003__001,O003,P2,1,P2_op1,S1,S1__m2,R1,1,1,26,27,208,216
O003__001,O003,P2,2,P2_op2,S2,S2__m1,R2,1,1,27,28,216,224
O003__001,O003,P2,3,P2_op3,S3,S3__m1,R1,2,1,28,29,224,232
O003__001,O003,P2,4,P2_op4,S4,S4__m0,R3,1,1,29,30,232,240
O003__002,O003,P2,1,P2_op1,S1,S1__m2,R1,1,1,27,28,216,224
O003__002,O003,P2,2,P2_op2,S2,S2__m1,R2,1,1,28,29,224,232
O003__002,O003,P2,3,P2_op3,S3,S3__m1,R1,2,1,29,30,232,240
O003__002,O003,P2,4,P2_op4,S4,S4__m0,R3,1,1,30,31,240,248
O004__001,O004,P4,1,P4_op1,S1,S1__m2,R1,1,1,13,14,104,112
O004__001,O004,P4,2,P4_op2,S2,S2__m1,R2,1,1,14,15,112,120
O004__001,O004,P4,3,P4_op3,S3,S3__m1,R1,2,1,15,16,120,128
O004__001,O004,P4,4,P4_op4,S4,S4__m0,R3,1,1,16,17,128,136
O004__002,O004,P4,1,P4_op1,S1,S1__m2,R1,1,1,14,15,112,120
O004__002,O004,P4,2,P4_op2,S2,S2__m1,R2,1,1,15,16,120,128
O004__002,O004,P4,3,P4_op3,S3,S3__m1,R1,2,1,16,17,128,136
