unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P1,20,30,32
O001__002,O001,P1,21,30,32
O001__003,O001,P1,22,30,32
O001__004,O001,P1,23,30,32
O002__001,O002,P4,14,25,27
O003__001,O003,P1,39,44,46
O003__002,O003,P1,40,44,46
O003__003,O003,P1,41,44,46
O003__004,O003,P1,42,44,46
O004__001,O004,P3,33,43,45
O004__002,O004,P3,34,43,45
O005__001,O005,P1,43,48,50
O005__002,O005,P1,44,48,50
O005__003,O005,P1,47,48,50
O005__004,O005,P1,48,48,50
O006__001,O006,P2,16,38,40
O006__002,O006,P2,17,38,40
O006__003,O006,P2,18,38,40
O007__001,O007,P1,24,31,33
O007__002,O007,P1,25,31,33
O007__003,O007,P1,26,31,33
O007__004,O007,P1,27,31,33
O008__001,O008,P4,29,40,42
O008__002,O008,P4,30,40,42
O008__003,O008,P4,31,40,42
O009__001,O009,P3,35,47,49
O009__002,O009,P3,36,47,49
O009__003,O009,P3,37,47,49
O010__001,O010,P1,45,46,48
O010__002,O010,P1,46,46,48
