unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P2,40,41,43
O001__002,O001,P2,39,41,43
O002__001,O002,P5,12,37,39
O002__002,O002,P5,13,37,39
O003__001,O003,P2,41,41,43
O003__002,O003,P2,42,42,43
O003__003,O003,P2,38,41,43
O004__001,O004,P4,44,44,44
O005__001,O005,P1,46,46,47
O005__002,O005,P1,47,47,47
O006__001,O006,P2,10,34,36
O006__002,O006,P2,9,34,36
O006__003,O006,P2,8,34,36
O007__001,O007,P1,48,48,49
O008__001,O008,P3,6,33,35
O008__002,O008,P3,5,33,35
O009__001,O009,P1,35,39,41
O009__002,O009,P1,36,39,41
O010__001,O010,P5,16,38,40
O010__002,O010,P5,33,38,40
O010__003,O010,P5,14,38,40
O010__004,O010,P5,15,38,40
