unit_id,order_id,product_type,op_index,operation_id,stage,machine,skill,workers,duration_days,start_day,end_day,start_hour,end_hour
O001__001,O001,P2,1,P2_op1,S1,S1__m2,R1,1,1,16,17,128,136
O001__001,O001,P2,2,P2_op2,S2,S2__m1,R2,1,1,18,19,144,152
O001__001,O001,P2,3,P2_op3,S3,S3__m0,R1,2,1,20,21,160,168
O001__001,O001,P2,4,P2_op4,S4,S4__m0,R3,1,1,39,40,312,320
O001__002,O001,P2,1,P2_op1,S1,S1__m2,R1,1,1,12,13,96,104
O001__002,O001,P2,2,P2_op2,S2,S2__m0,R2,1,1,15,16,120,128
O001__002,O001,P2,3,P2_op3,S3,S3__m0,R1,2,1,16,17,128,136
O001__002,O001,P2,4,P2_op4,S4,S4__m0,R3,1,1,38,39,304,312
O002__001,O002,P5,1,P5_op1,S1,S1__m2,R1,1,1,6,7,48,56
O002__001,O002,P5,2,P5_op2,S2,S2__m0,R2,2,1,8,9,64,72
O002__001,O002,P5,3,P5_op3,S3,S3__m1,R1,1,1,9,10,72,80
O002__001,O002,P5,4,P5_op4,S4,S4__m0,R3,1,1,11,12,88,96
O002__002,O002,P5,1,P5_op1,S1,S1__m0,R1,1,1,3,4,24,32
O002__002,O002,P5,2,P5_op2,S2,S2__m0,R2,2,1,6,7,48,56
O002__002,O002,P5,3,P5_op3,S3,S3__m0,R1,1,1,7,8,56,64
O002__002,O002,P5,4,P5_op4,S4,S4__m0,R3,1,1,12,13,96,104
O003__001,O003,P2,1,P2_op1,S1,S1__m0,R1,1,1,7,8,56,64
O003__001,O003,P2,2,P2_op2,S2,S2__m1,R2,1,1,12,13,96,104
O003__001,O003,P2,3,P2_op3,S3,S3__m0,R1,2,1,14,15,112,120
O003__001,O003,P2,4,P2_op4,S4,S4__m0,R3,1,1,40,41,320,328
O003__002,O003,P2,1,P2_op1,S1,S1__m1,R1,1,1,7,8,56,64
O003__002,O003,P2,2,P2_op2,S2,S2__m1,R2,1,1,13,14,104,112
O003__002,O003,P2,3,P2_op3,S3,S3__m1,R1,2,1,15,16,120,128
O003__002,O003,P2,4,P2_op4,S4,S4__m0,R3,1,1,41,42,328,336
O003__003,O003,P2,1,P2_op1,S1,S1__m2,R1,1,1,11,12,88,96
O003__003,O003,P2,2,P2_op2,S2,S2__m0,R2,1,1,14,15,112,120
O003__003,O003,P2,3,P2_op3,S3,S3__m0,R1,2,1,15,16,120,128
O003__003,O003,P2,4,P2_op4,S4,S4__m0,R3,1,1,37,38,296,304
O004__001,O004,P4,1,P4_op1,S1,S1__m0,R1,1,1,9,10,72,80
O004__001,O004,P4,2,P4_op2,S2,S2__m0,R2,1,1,12,13,96,104
O004__001,O004,P4,3,P4_op3,S3,S3__m1,R1,2,1,13,14,104,112
O004__001,O004,P4,4,P4_op4,S4,S4__m0,R3,1,1,43,44,344,352
O005__001,O005,P1,1,P1_op1,S1,S1__m0,R1,1,1,11,12,88,96
O005__001,O005,P1,2,P1_op2,S2,S2__m0,R2,2,1,17,18,136,144
O005__001,O005,P1,3,P1_op3,S3,S3__m1,R1,1,1,18,19,144,152
O005__001,O005,P1,4,P1_op4,S4,S4__m0,R3,1,1,45,46,360,368
O005__002,O005,P1,1,P1_op1,S1,S1__m2,R1,1,1,14,15,112,120
O005__002,O005,P1,2,P1_op2,S2,S2__m1,R2,2,1,16,17,128,136
O005__002,O005,P1,3,P1_op3,S3,S3__m0,R1,1,1,18,19,144,152
O005__002,O005,P1,4,P1_op4,S4,S4__m0,R3,1,1,46,47,368,376
O006__001,O006,P2,1,P2_op1,S1,S1__m0,R1,1,1,1,2,8,16
O006__001,O006,P2,2,P2_op2,S2,S2__m1,R2,1,1,4,5,32,40
O006__001,O006,P2,3,P2_op3,S3,S3__m0,R1,2,1,5,6,40,48
O006__001,O006,P2,4,P2_op4,S4,S4__m0,R3,1,1,9,10,72,80
O006__002,O006,P2,1,P2_op1,S1,S1__m2,R1,1,1,4,5,32,40
O006__002,O006,P2,2,P2_op2,S2,S2__m1,R2,1,1,5,6,40,48
O006__002,O006,P2,3,P2_op3,S3,S3__m1,R1,2,1,6,7,48,56
O006__002,O006,P2,4,P2_op4,S4,S4__m0,R3,1,1,8,9,64,72
O006__003,O006,P2,1,P2_op1,S1,S1__m2,R1,1,1,3,4,24,32
O006__003,O006,P2,2,P2_op2,S2,S2__m0,R2,1,1,4,5,32,40
O006__003,O006,P2,3,P2_op3,S3,S3__m1,R1,2,1,5,6,40,48
O006__003,O006,P2,4,P2_op4,S4,S4__m0,R3,1,1,7,8,56,64
O007__001,O007,P1,1,P1_op1,S1,S1__m1,R1,1,1,9,10,72,80
O007__001,O007,P1,2,P1_op2,S2,S2__m1,R2,2,1,15,16,120,128
O007__001,O007,P1,3,P1_op3,S3,S3__m1,R1,1,1,17,18,136,144
O007__001,O007,P1,4,P1_op4,S4,S4__m0,R3,1,1,47,48,376,384
O008__001,O008,P3,1,P3_op1,S1,S1__m1,R1,2,1,1,2,8,16
O008__001,O008,P3,2,P3_op2,S2,S2__m0,R2,2,1,2,3,16,24
O008__001,O008,P3,3,P3_op3,S3,S3__m1,R1,1,1,3,4,24,32
O008__001,O008,P3,4,P3_op4,S4,S4__m0,R3,1,1,5,6,40,48
O008__002,O008,P3,1,P3_op1,S1,S1__m2,R1,2,1,1,2,8,16
O008__002,O008,P3,2,P3_op2,S2,S2__m1,R2,2,1,2,3,16,24
O008__002,O008,P3,3,P3_op3,S3,S3__m0,R1,1,1,3,4,24,32
O008__002,O008,P3,4,P3_op4,S4,S4__m0,R3,1,1,4,5,32,40
O009__001,O009,P1,1,P1_op1,S1,S1__m0,R1,1,1,5,6,40,48
O009__001,O009,P1,2,P1_op2,S2,S2__m1,R2,2,1,8,9,64,72
O009__001,O009,P1,3,P1_op3,S3,S3__m0,R1,1,1,10,11,80,88
O009__001,O009,P1,4,P1_op4,S4,S4__m0,R3,1,1,34,35,272,280
O009__002,O009,P1,1,P1_op1,S1,S1__m1,R1,1,1,5,6,40,48
O009__002,O009,P1,2,P1_op2,S2,S2__m1,R2,2,1,7,8,56,64
O009__002,O009,P1,3,P1_op3,S3,S3__m0,R1,1,1,9,10,72,80
O009__002,O009,P1,4,P1_op4,S4,S4__m0,R3,1,1,35,36,280,288
O010__001,O010,P5,1,P5_op1,S1,S1__m2,R1,1,1,7,8,56,64
O010__001,O010,P5,2,P5_op2,S2,S2__m1,R2,2,1,10,11,80,88
O010__001,O010,P5,3,P5_op3,S3,S3__m0,R1,1,1,12,13,96,104
O010__001,O010,P5,4,P5_op4,S4,S4__m0,R3,1,1,15,16,120,128
O010__002,O010,P5,1,P5_op1,S1,S1__m2,R1,1,1,8,9,64,72
O010__002,O010,P5,2,P5_op2,S2,S2__m0,R2,2,1,9,10,72,80
O010__002,O010,P5,3,P5_op3,S3,S3__m1,R1,1,1,10,11,80,88
O010__002,O010,P5,4,P5_op4,S4,S4__m0,R3,1,1,32,33,256,264
O010__003,O010,P5,1,P5_op1,S1,S1__m2,R1,1,1,9,10,72,80
O010__003,O010,P5,2,P5_op2,S2,S2__m0,R2,2,1,10,11,80,88
O010__003,O010,P5,3,P5_op3,S3,S3__m1,R1,1,1,11,12,88,96
O010__003,O010,P5,4,P5_op4,S4,S4__m0,R3,1,1,13,14,104,112
O010__004,O010,P5,1,P5_op1,S1,S1__m1,R1,1,1,3,4,24,32
O010__004,O010,P5,2,P5_op2,S2,S2__m0,R2,2,1,7,8,56,64
O010__004,O010,P5,3,P5_op3,S3,S3__m1,R1,1,1,8,9,64,72
O010__004,O010,P5,4,P5_op4,S4,S4__m0,R3,1,1,14,15,112,120
