instance_path,meta_scale,meta_scenario,meta_seed,meta_n_orders,time_limit_s,ship_window,storage,staff_factor,run_status,run_error,run_elapsed_s,status,objective,horizon_days,num_units,num_operations
medium/baseline/I001,medium,baseline,1060,20,300,0,5,0.8,ok,,5.958548,INFEASIBLE,,60,66,264
medium/baseline/I001,medium,baseline,1060,20,300,0,5,1.0,ok,,5.870037,INFEASIBLE,,60,66,264
medium/baseline/I001,medium,baseline,1060,20,300,0,5,1.2,ok,,5.888476,INFEASIBLE,,60,66,264
medium/baseline/I001,medium,baseline,1060,20,300,0,10,0.8,ok,,5.91348,INFEASIBLE,,60,66,264
medium/baseline/I001,medium,baseline,1060,20,300,0,10,1.0,ok,,5.894198,INFEASIBLE,,60,66,264
medium/baseline/I001,medium,baseline,1060,20,300,0,10,1.2,ok,,5.853701,INFEASIBLE,,60,66,264
medium/baseline/I001,medium,baseline,1060,20,300,0,20,0.8,ok,,5.82869,INFEASIBLE,,60,66,264
medium/baseline/I001,medium,baseline,1060,20,300,0,20,1.0,ok,,5.860623,INFEASIBLE,,60,66,264
medium/baseline/I001,medium,baseline,1060,20,300,0,20,1.2,ok,,5.833324,INFEASIBLE,,60,66,264
medium/baseline/I001,medium,baseline,1060,20,300,0,50,0.8,ok,,5.851858,INFEASIBLE,,60,66,264
medium/baseline/I001,medium,baseline,1060,20,300,0,50,1.0,ok,,5.85964,INFEASIBLE,,60,66,264
medium/baseline/I001,medium,baseline,1060,20,300,0,50,1.2,ok,,5.853343,INFEASIBLE,,60,66,264
medium/baseline/I001,medium,baseline,1060,20,300,2,5,0.8,ok,,5.972859,INFEASIBLE,,60,66,264
medium/baseline/I001,medium,baseline,1060,20,300,2,5,1.0,ok,,5.968436,INFEASIBLE,,60,66,264
medium/baseline/I001,medium,baseline,1060,20,300,2,5,1.2,ok,,5.98949,INFEASIBLE,,60,66,264
medium/baseline/I001,medium,baseline,1060,20,300,2,10,0.8,ok,,5.980064,INFEASIBLE,,60,66,264
medium/baseline/I001,medium,baseline,1060,20,300,2,10,1.0,ok,,5.946469,INFEASIBLE,,60,66,264
medium/baseline/I001,medium,baseline,1060,20,300,2,10,1.2,ok,,5.97876,INFEASIBLE,,60,66,264
medium/baseline/I001,medium,baseline,1060,20,300,2,20,0.8,ok,,5.977943,INFEASIBLE,,60,66,264
medium/baseline/I001,medium,baseline,1060,20,300,2,20,1.0,ok,,5.941874,INFEASIBLE,,60,66,264
